D Retention = 1.3629e+22 [D/m^2] | Temperatures Spanned = 3.204e+02 to 8.684e+02
Time[s]     Temp[K]     DFlux[D/m^2/s]   HDFlux[HD/m^2/s]   D2Flux[D2/m^2/s]
3.9059e+02	3.2039e+02	3.6346e+14	-1.0085e+15	1.8173e+14
4.0061e+02	3.2325e+02	4.3118e+14	-9.3605e+14	2.1559e+14
4.1062e+02	3.2643e+02	2.1306e+14	-1.0272e+15	1.0653e+14
4.2064e+02	3.2918e+02	0.0000e+00	-1.1483e+15	-2.9438e+13
4.3065e+02	3.3211e+02	0.0000e+00	-1.1964e+15	-1.1255e+14
4.4067e+02	3.3434e+02	0.0000e+00	-1.1750e+15	-1.6166e+14
4.5069e+02	3.3852e+02	0.0000e+00	-1.1546e+15	-2.0423e+14
4.6070e+02	3.4126e+02	0.0000e+00	-9.6889e+14	-1.2450e+14
4.7072e+02	3.4401e+02	0.0000e+00	-9.9579e+14	-8.6581e+13
4.8073e+02	3.4734e+02	5.7313e+13	-1.0639e+15	2.8657e+13
4.9075e+02	3.5046e+02	2.4772e+14	-1.0280e+15	1.2386e+14
5.0076e+02	3.5328e+02	2.5062e+14	-9.7139e+14	1.2531e+14
5.1078e+02	3.5683e+02	1.3731e+14	-9.6269e+14	6.8656e+13
5.2079e+02	3.5954e+02	3.7382e+13	-1.0750e+15	1.8691e+13
5.3081e+02	3.6243e+02	0.0000e+00	-1.2480e+15	-9.0062e+12
5.4082e+02	3.6511e+02	1.0805e+13	-1.3562e+15	5.4026e+12
5.5084e+02	3.6928e+02	8.4673e+13	-1.2985e+15	4.2337e+13
5.6085e+02	3.7166e+02	1.8721e+14	-1.1700e+15	9.3606e+13
5.7087e+02	3.7338e+02	4.2909e+14	-1.0447e+15	2.1454e+14
5.8088e+02	3.7745e+02	8.2570e+14	-1.1918e+15	4.1285e+14
5.9090e+02	3.8071e+02	1.0920e+15	-1.3110e+15	5.4600e+14
6.0091e+02	3.8331e+02	9.8213e+14	-1.3611e+15	4.9107e+14
6.1093e+02	3.8642e+02	7.5030e+14	-1.4382e+15	3.7515e+14
6.2094e+02	3.8964e+02	8.2401e+14	-1.5103e+15	4.1201e+14
6.3096e+02	3.9367e+02	1.1106e+15	-1.3626e+15	5.5531e+14
6.4097e+02	3.9598e+02	1.3990e+15	-1.0605e+15	6.9950e+14
6.5099e+02	3.9810e+02	1.6931e+15	-7.3250e+14	8.4653e+14
6.6100e+02	4.0121e+02	2.1099e+15	-5.5184e+14	1.0550e+15
6.7102e+02	4.0433e+02	2.4980e+15	-2.9291e+14	1.2490e+15
6.8104e+02	4.0715e+02	2.8276e+15	-1.2043e+14	1.4138e+15
6.9105e+02	4.0949e+02	3.5075e+15	1.2093e+14	1.6933e+15
