Temperatures Spanned = 319.915 to 1178.720 [K]
D  Retention = 1.4594e+22 [ D/m^2] where D = 2 x D2 + 1 x HD
He Retention = 3.9650e+19 [He/m^2]
Time[s]     Temp[K]     [D/m^2/s]   [HD/m^2/s]  [D2/m^2/s]  [He/m^2/s]
8.1417e+02	4.4483e+02	1.4342e+17	9.6142e+16	2.3641e+16	-3.5299e+15
8.2214e+02	4.4802e+02	1.6719e+17	8.8797e+16	3.9194e+16	-2.4242e+15
8.3011e+02	4.4985e+02	2.1252e+17	8.6958e+16	6.2780e+16	-9.0928e+14
8.3810e+02	4.5237e+02	2.3140e+17	8.6252e+16	7.2573e+16	7.6113e+14
8.4607e+02	4.5442e+02	2.4142e+17	9.2994e+16	7.4213e+16	8.8820e+14
8.5404e+02	4.5629e+02	2.3470e+17	9.4583e+16	7.0058e+16	-2.8975e+14
8.6201e+02	4.5864e+02	2.1319e+17	9.8936e+16	5.7125e+16	-8.5464e+14
8.7000e+02	4.6186e+02	1.9965e+17	1.0369e+17	4.7981e+16	-1.7661e+15
8.7795e+02	4.6559e+02	2.0960e+17	1.0769e+17	5.0958e+16	-2.4549e+15
8.8596e+02	4.6713e+02	2.2899e+17	1.1446e+17	5.7267e+16	-2.4702e+15
8.9391e+02	4.6878e+02	2.5627e+17	1.2204e+17	6.7118e+16	-1.8720e+15
9.0188e+02	4.7156e+02	2.7840e+17	1.2453e+17	7.6935e+16	-1.8213e+15
9.0986e+02	4.7350e+02	2.9282e+17	1.2582e+17	8.3496e+16	-1.7714e+15
9.1783e+02	4.7596e+02	2.9932e+17	1.2016e+17	8.9584e+16	-8.5670e+14
9.2580e+02	4.7757e+02	2.9951e+17	1.0657e+17	9.6468e+16	-4.2300e+14
9.3377e+02	4.8065e+02	3.1059e+17	1.0294e+17	1.0383e+17	-2.1667e+15
9.4177e+02	4.8314e+02	3.2758e+17	1.0657e+17	1.1051e+17	-2.0400e+15
9.4973e+02	4.8500e+02	3.4933e+17	1.0754e+17	1.2089e+17	-2.5671e+15
9.5769e+02	4.8724e+02	3.6218e+17	1.0607e+17	1.2805e+17	-3.5931e+15
9.6567e+02	4.8878e+02	3.5837e+17	1.0800e+17	1.2519e+17	-3.4727e+15
9.7366e+02	4.9280e+02	3.6886e+17	1.1792e+17	1.2547e+17	-9.6228e+14
9.8162e+02	4.9354e+02	3.9434e+17	1.2349e+17	1.3543e+17	9.4825e+13
9.8959e+02	4.9577e+02	4.0492e+17	1.1245e+17	1.4624e+17	-1.0398e+15
9.9756e+02	4.9844e+02	3.8093e+17	1.0028e+17	1.4032e+17	-1.4904e+15
1.0055e+03	5.0137e+02	3.3046e+17	8.4491e+16	1.2299e+17	-6.9148e+14
1.0135e+03	5.0324e+02	3.1699e+17	8.1374e+16	1.1781e+17	-5.1419e+14
1.0215e+03	5.0577e+02	3.1089e+17	7.2900e+16	1.1900e+17	-7.0461e+14
1.0295e+03	5.0844e+02	3.3103e+17	7.6834e+16	1.2710e+17	-2.0750e+15
1.0374e+03	5.1013e+02	3.3618e+17	8.5162e+16	1.2551e+17	-1.6397e+15
1.0454e+03	5.1265e+02	3.2320e+17	8.9607e+16	1.1680e+17	-1.3877e+15
1.0534e+03	5.1544e+02	2.9514e+17	8.2583e+16	1.0628e+17	-2.5692e+15
1.0613e+03	5.1741e+02	2.8502e+17	7.6241e+16	1.0439e+17	-4.0774e+15
1.0693e+03	5.2020e+02	2.9372e+17	8.2548e+16	1.0559e+17	-3.2324e+15
1.0773e+03	5.2287e+02	2.8372e+17	8.0894e+16	1.0141e+17	-3.1061e+15
1.0853e+03	5.2470e+02	2.7782e+17	7.4246e+16	1.0178e+17	-1.5859e+15
1.0932e+03	5.2712e+02	3.1104e+17	8.8287e+16	1.1138e+17	9.8716e+14
1.1012e+03	5.2942e+02	3.5621e+17	1.0543e+17	1.2539e+17	2.3661e+15
1.1092e+03	5.3268e+02	3.5859e+17	1.1123e+17	1.2368e+17	1.0204e+14
1.1172e+03	5.3386e+02	3.4500e+17	1.2673e+17	1.0914e+17	-2.4735e+13
1.1251e+03	5.3638e+02	3.4313e+17	1.4008e+17	1.0152e+17	-1.0261e+14
1.1331e+03	5.3935e+02	3.7660e+17	1.3977e+17	1.1841e+17	-4.6530e+14
1.1411e+03	5.4125e+02	3.7311e+17	1.3951e+17	1.1680e+17	-1.0070e+15
1.1491e+03	5.4393e+02	3.8919e+17	1.4806e+17	1.2056e+17	-5.6623e+14
1.1571e+03	5.4590e+02	4.3212e+17	1.6084e+17	1.3564e+17	-9.4567e+14
1.1650e+03	5.4894e+02	4.7628e+17	1.7403e+17	1.5112e+17	-9.0919e+14
1.1730e+03	5.5099e+02	4.8228e+17	1.7754e+17	1.5237e+17	-1.1937e+15
1.1810e+03	5.5301e+02	4.6788e+17	1.8026e+17	1.4381e+17	-4.5924e+14
1.1889e+03	5.5550e+02	4.8776e+17	1.9768e+17	1.4504e+17	1.0586e+15
1.1969e+03	5.5942e+02	5.3818e+17	2.2040e+17	1.5889e+17	8.9677e+14
1.2049e+03	5.5967e+02	5.8565e+17	2.3001e+17	1.7782e+17	-7.4577e+14
